# fiber x(mm) y(mm) theta(deg) phi(deg) illumination_fraction
214 178.928913 32.374183 0.741389 10.255756 1.72108e-13
215 246.716093 23.292832 1.002739 5.393393 1.62571e-13
216 194.608464 41.426105 0.809816 12.017125 1.69788e-13
217 367.655461 14.256931 1.460832 2.220701 1.43855e-13
218 358.417902 177.071170 1.577758 26.291007 1.39924e-13
219 293.845930 14.209355 1.182584 2.768466 1.55496e-13
220 179.296283 122.978837 0.883078 34.446121 1.68286e-13
221 126.906556 68.704146 0.590372 28.430045 1.77555e-13
222 309.733006 59.367182 1.263526 10.850406 1.52353e-13
223 262.598482 68.474187 1.094562 14.614793 1.5929e-13
224 372.962087 23.303585 1.482124 3.575333 1.42961e-13
225 215.531005 59.547865 0.907542 15.444648 1.66391e-13
226 246.697720 5.211611 0.998587 1.210222 1.62704e-13
227 194.982061 132.008171 0.954289 34.099071 1.65711e-13
228 69.307842 5.207393 0.285604 4.296802 1.85569e-13
229 330.702371 5.214085 1.321766 0.903291 1.49749e-13
230 283.545898 68.416811 1.172957 13.565603 1.56133e-13
231 273.323662 122.712445 1.203360 24.178357 1.55456e-13
232 210.597187 122.921512 0.987197 30.271284 1.64241e-13
233 325.991293 140.878110 1.413256 23.371731 1.46759e-13
234 199.856776 50.496206 0.838334 14.179701 1.68859e-13
235 257.167155 23.289043 1.043394 5.174588 1.61024e-13
236 299.706358 149.921932 1.338240 26.575565 1.5012e-13
237 204.964555 23.306153 0.838922 6.487138 1.68656e-13
238 346.528282 32.325811 1.386747 5.329400 1.47075e-13
239 399.679254 32.328315 1.582171 4.624339 1.38628e-13
240 137.195056 32.373419 0.576829 13.277011 1.77525e-13
241 331.073196 113.725058 1.394334 18.957816 1.47247e-13
242 174.031718 113.936997 0.845778 33.212407 1.69504e-13
243 352.924202 168.011241 1.545290 25.457005 1.41274e-13
244 267.870733 77.489189 1.123500 16.134009 1.58196e-13
245 394.287775 5.217104 1.557889 0.758077 1.39674e-13
246 351.807026 23.295645 1.403734 3.788430 1.46331e-13
247 158.000134 14.254764 0.648226 5.155265 1.75144e-13
248 205.332044 113.883651 0.951668 29.014137 1.65457e-13
249 168.719140 86.775487 0.772952 27.217627 1.7165e-13
250 231.627063 159.032754 1.131667 34.473091 1.5905e-13
251 173.666304 23.305414 0.714894 7.643231 1.72945e-13
252 330.955321 95.634302 1.373499 16.117411 1.47981e-13
253 288.998462 113.688584 1.245196 21.474091 1.53591e-13
254 310.497720 186.166629 1.438945 30.945843 1.46262e-13
255 310.249697 149.929685 1.373806 25.792383 1.48577e-13
256 367.909376 86.596405 1.497887 13.244872 1.42557e-13
257 220.720912 50.482957 0.918655 12.883010 1.65911e-13
258 299.600823 131.810623 1.308812 23.747293 1.5112e-13
259 168.495714 32.368285 0.700259 10.874136 1.7351e-13
260 236.507578 77.623804 1.007072 18.170277 1.62786e-13
261 105.963067 50.587919 0.481297 25.520316 1.80675e-13
262 189.360313 32.374957 0.782461 9.702060 1.707e-13
263 346.525394 14.253306 1.382201 2.355366 1.47239e-13
264 325.443930 14.243568 1.302915 2.506041 1.50561e-13
265 331.567860 168.060587 1.474877 26.878916 1.44398e-13
266 48.438695 5.205960 0.200330 6.134330 1.87616e-13
267 325.533078 68.451994 1.328967 11.874958 1.49688e-13
268 184.175760 41.430817 0.769164 12.677799 1.71232e-13
269 268.417696 186.130288 1.306255 34.738802 1.52133e-13
270 373.108778 59.448807 1.497342 9.053051 1.42435e-13
271 231.095405 32.363531 0.945967 7.972084 1.64782e-13
272 163.528095 95.828966 0.772199 30.370695 1.71852e-13
273 236.830251 149.958255 1.129145 32.341531 1.5899e-13
274 378.319393 32.330284 1.504276 4.884495 1.42047e-13
275 283.473831 50.341669 1.158437 10.070080 1.56602e-13
276 268.047249 113.674369 1.170925 22.980991 1.56673e-13
277 320.787279 149.932791 1.409403 25.050920 1.47026e-13
278 299.413150 95.592344 1.259462 17.706498 1.5279e-13
279 163.309541 41.422843 0.687823 14.232697 1.74008e-13
280 367.748431 50.417819 1.472883 7.806507 1.43441e-13
281 152.799882 23.308432 0.631799 8.673165 1.7569e-13
282 142.662280 95.871963 0.701492 33.901906 1.74386e-13
283 147.566486 14.259722 0.606311 5.519498 1.76467e-13
284 283.634944 86.523243 1.191600 16.964401 1.55516e-13
285 173.742763 41.433427 0.728494 13.413125 1.7262e-13
286 309.662375 41.294927 1.252234 7.595845 1.52724e-13
287 252.542677 158.956478 1.198752 32.187305 1.56218e-13
288 399.680658 14.243400 1.578350 2.040983 1.38772e-13
289 305.299312 195.225706 1.440247 32.597156 1.4636e-13
290 294.765433 195.201396 1.407325 33.513570 1.4784e-13
291 357.126124 50.420539 1.433876 8.036141 1.45133e-13
292 225.813873 5.211140 0.916498 1.321988 1.6579e-13
293 184.080975 5.210294 0.750677 1.621287 1.71708e-13
294 325.466827 32.289663 1.307868 5.665791 1.50393e-13
295 48.466216 23.330094 0.221151 25.704683 1.87317e-13
296 111.209217 59.656204 0.516981 28.210541 1.79745e-13
297 194.513974 5.210498 0.792339 1.534430 1.70258e-13
298 267.624748 23.278888 1.083916 4.971264 1.59438e-13
299 215.397328 23.311558 0.880054 6.176843 1.67161e-13
300 221.128554 140.955933 1.059030 32.515020 1.61691e-13
301 194.766647 77.709186 0.852470 21.751313 1.68604e-13
302 262.855487 122.725095 1.166845 25.027489 1.5697e-13
303 299.137702 5.213015 1.201738 0.998381 1.54709e-13
304 163.214510 5.209894 0.666976 1.828291 1.74515e-13
305 394.313050 23.274041 1.560361 3.377923 1.39582e-13
306 189.424640 50.510592 0.798159 14.930670 1.70296e-13
307 315.219539 104.672922 1.327051 18.369446 1.50028e-13
308 335.984449 32.312946 1.347357 5.493465 1.48724e-13
309 257.242731 41.385329 1.052477 9.139458 1.60756e-13
310 220.945309 104.793118 0.989907 25.374723 1.63809e-13
311 304.708296 104.642215 1.289359 18.953377 1.51606e-13
312 310.110685 131.819697 1.345212 23.029037 1.49562e-13
313 320.188070 41.294816 1.291876 7.348899 1.51088e-13
314 252.392014 122.752417 1.130479 25.936258 1.58453e-13
315 346.966695 122.796318 1.461290 19.489576 1.44428e-13
316 58.899186 23.329242 0.260383 21.607908 1.86349e-13
317 384.073382 95.605056 1.563260 13.978201 1.39761e-13
318 106.041407 68.719238 0.517636 32.944914 1.79897e-13
319 278.910588 186.129853 1.338998 33.717004 1.50685e-13
320 326.141050 159.021171 1.441962 25.993124 1.45717e-13
321 405.065588 5.217758 1.597124 0.738001 1.37932e-13
322 111.066756 23.335261 0.465315 11.865334 1.80804e-13
323 121.575312 41.456880 0.526113 18.829249 1.79203e-13
324 309.671203 5.213349 1.241990 0.964490 1.53065e-13
325 268.208122 149.896027 1.232597 29.199931 1.5464e-13
326 289.100400 131.791168 1.272464 24.506650 1.52682e-13
327 200.016608 86.741658 0.885439 23.445041 1.67517e-13
328 189.501459 68.628606 0.820075 19.908029 1.69685e-13
329 358.136213 158.941916 1.548751 23.931791 1.41003e-13
330 325.742560 104.681288 1.364698 17.815433 1.48447e-13
331 305.046577 158.982729 1.371602 27.527411 1.48806e-13
332 314.943770 50.321357 1.277080 9.077922 1.51752e-13
333 210.674646 141.002898 1.025003 33.794087 1.63073e-13
334 247.286992 149.911551 1.163324 31.225290 1.57556e-13
335 210.288854 50.503490 0.878523 13.504535 1.67382e-13
336 378.643983 86.561108 1.536274 12.877002 1.40907e-13
337 362.373936 23.301469 1.442996 3.679184 1.44628e-13
338 189.300177 14.258904 0.773391 4.307630 1.70933e-13
339 53.725649 32.499149 0.258084 31.170137 1.86593e-13
340 351.964353 77.538923 1.432896 12.423995 1.45302e-13
341 389.046249 50.422969 1.550501 7.384747 1.40101e-13
342 373.366695 95.604559 1.525276 14.362604 1.41429e-13
343 246.791860 41.402145 1.012237 9.523339 1.62299e-13
344 262.696929 86.553350 1.114740 18.236011 1.5863e-13
345 90.176886 5.208227 0.370829 3.305484 1.83358e-13
346 399.975916 68.448417 1.599632 9.711034 1.38013e-13
347 293.953331 50.331481 1.198090 9.716119 1.54996e-13
348 352.195976 113.746829 1.468889 17.898619 1.44014e-13
349 384.356760 113.634857 1.581511 16.470284 1.39078e-13
350 294.614628 177.071925 1.370638 31.007086 1.49137e-13
351 147.771547 68.672466 0.665572 24.925259 1.75075e-13
352 273.592825 177.061423 1.303422 32.909785 1.5207e-13
353 116.396144 50.590463 0.519886 23.491711 1.79525e-13
354 341.751163 131.850097 1.454799 21.096979 1.44795e-13
355 331.750990 186.187498 1.506957 29.302302 1.43243e-13
356 351.854528 59.450879 1.419637 9.590365 1.45779e-13
357 383.615379 23.289752 1.521272 3.474232 1.4129e-13
358 267.605889 5.212127 1.080116 1.115802 1.59557e-13
359 336.972430 177.131456 1.507931 27.728913 1.43066e-13
360 310.003247 113.715769 1.319721 20.144109 1.50422e-13
361 267.978846 95.588992 1.145366 19.631495 1.57488e-13
362 199.933813 68.640795 0.859182 18.948248 1.68265e-13
363 241.767169 86.659229 1.037972 19.719753 1.61675e-13
364 347.386572 159.002302 1.512912 24.594043 1.42589e-13
365 179.069123 68.652369 0.781145 20.976061 1.71077e-13
366 363.631303 167.997070 1.580637 24.796860 1.39679e-13
